BATHRM	ROOMS
9	16
3	11
4	10
1	9
3	9
3	8
5	15
4	12
1	7
2	6
3	9
4	10
4	16
4	10
2	5
1	5
2	5
3	8
4	15
2	8
2	6
4	12
5	11
4	14
5	19
4	10
4	6
3	10
4	10
3	8
3	12
4	9
4	13
3	10
3	11
4	16
4	16
4	12
3	9
1	7
1	6
2	8
1	6
2	6
1	7
2	4
2	5
1	6
1	6
2	9
2	7
2	7
2	8
2	7
2	7
3	6
2	7
5	8
4	8
5	9
5	10
3	8
4	11
4	10
6	8
4	7
3	10
3	10
3	7
3	9
2	9
3	10
3	14
4	10
4	10
3	12
2	8
2	6
2	7
2	7
3	6
2	6
2	10
4	10
3	7
3	11
3	9
2	7
2	7
2	6
2	6
2	7
2	6
2	6
3	13
4	13
3	10
5	8
3	11
5	16
4	11
3	9
5	17
6	8
4	12
5	15
6	18
5	9
2	13
5	13
5	15
4	12
5	14
4	11
3	12
4	10
4	9
4	20
4	7
4	11
2	7
2	8
3	12
1	5
2	7
2	9
2	11
2	8
4	12
1	5
2	8
4	10
4	12
2	8
2	7
3	9
2	7
2	7
2	7
2	7
2	7
2	6
2	6
3	12
1	7
4	12
2	8
5	10
2	8
3	10
5	10
2	9
2	9
4	12
3	11
3	10
2	8
3	10
4	16
4	12
2	7
2	6
2	8
3	7
3	9
2	7
2	8
3	10
3	6
3	7
3	9
4	6
3	9
3	9
2	7
3	10
2	6
4	11
3	8
3	8
4	16
3	10
3	8
1	6
1	4
4	9
2	5
3	8
2	6
1	7
1	7
1	4
1	4
1	4
2	8
3	5
1	6
1	6
2	7
2	7
1	4
1	5
1	6
4	9
2	4
4	9
1	5
1	6
1	5
2	8
1	5
1	5
1	7
1	6
1	5
3	5
1	7
3	8
2	6
2	6
2	8
2	7
1	6
2	7
2	6
2	6
2	6
2	6
2	9
2	6
1	6
1	11
2	7
2	7
2	6
2	9
2	7
2	5
1	6
1	4
1	4
2	5
2	6
1	6
1	6
2	8
2	5
3	6
2	6
2	7
2	8
1	9
2	8
2	10
2	8
1	8
1	5
2	9
2	8
2	8
2	8
2	8
3	8
2	8
3	8
2	8
2	8
3	8
3	8
2	8
2	8
2	9
2	8
2	8
2	8
2	8
3	8
2	8
2	8
2	8
3	8
2	8
3	8
3	9
2	8
2	8
3	8
2	6
3	8
2	8
2	8
2	8
2	8
2	8
2	5
2	6
2	5
2	5
2	6
2	5
2	5
1	5
1	6
1	6
2	6
1	6
1	6
1	6
1	6
1	6
1	6
2	6
2	6
3	9
2	8
2	6
2	8
1	7
2	6
1	9
3	8
2	8
3	8
2	8
1	9
1	7
2	8
3	10
3	8
1	4
1	4
3	8
2	8
2	6
1	6
5	12
1	6
1	6
2	5
2	6
1	5
3	8
4	8
4	8
4	8
4	8
4	8
4	8
2	8
2	8
1	5
5	11
2	8
4	10
2	8
2	6
2	6
2	6
2	6
2	6
1	6
2	6
1	6
2	8
1	6
2	6
2	6
2	6
3	9
3	8
3	10
3	12
3	16
2	8
2	8
3	9
1	6
2	7
3	6
2	6
2	8
4	9
2	10
3	8
2	6
4	10
4	10
1	4
2	6
2	6
1	4
1	5
1	4
1	4
1	4
2	4
1	4
1	5
3	6
2	0
1	4
2	6
1	6
1	6
2	8
2	8
2	8
2	8
3	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
3	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
3	8
2	8
2	8
2	6
2	8
1	4
1	4
2	4
2	6
1	4
1	6
1	4
3	8
2	8
3	9
3	9
1	7
3	9
3	8
4	12
2	9
3	8
4	5
3	8
2	8
1	7
4	12
3	9
4	7
3	8
3	8
4	8
2	10
2	8
3	9
3	8
3	9
2	8
2	10
2	9
3	11
2	6
1	6
2	6
2	6
2	6
2	7
2	9
2	7
2	8
2	7
2	5
2	7
1	6
2	6
2	8
2	7
1	6
1	6
1	6
2	7
1	5
2	6
1	7
1	4
1	4
1	5
1	7
1	4
1	5
2	6
3	8
2	13
4	8
2	8
2	6
2	8
1	5
2	8
1	4
1	6
1	7
2	6
2	4
2	5
1	6
1	6
2	8
1	7
2	7
1	4
1	4
2	6
2	12
2	10
2	7
1	9
1	7
1	7
1	4
2	12
1	5
1	4
1	7
2	7
4	4
2	8
2	4
1	3
2	6
1	8
1	6
1	6
1	8
3	9
3	9
2	8
4	8
3	11
4	11
3	11
4	9
3	13
3	7
2	9
3	8
2	9
4	12
2	7
3	9
3	8
3	13
1	5
5	12
5	14
3	7
3	9
1	11
2	8
2	7
2	9
3	6
2	12
3	10
3	10
3	9
3	10
2	9
4	11
2	12
4	9
2	11
4	10
4	13
4	10
2	7
2	9
2	8
2	7
4	9
2	9
4	10
2	8
4	9
1	8
3	9
4	8
3	10
4	11
2	12
2	11
2	8
3	9
2	8
2	8
1	8
4	11
3	8
4	8
3	9
2	8
2	8
2	8
2	9
2	9
3	10
2	5
4	8
3	8
2	8
2	9
2	7
3	13
2	9
3	13
2	6
3	8
3	8
3	9
5	9
4	7
4	18
2	12
2	6
3	9
1	5
3	6
1	6
1	5
1	6
2	6
1	6
2	8
2	6
2	8
3	6
3	8
1	5
4	10
1	3
1	6
1	5
3	10
4	11
4	9
2	5
2	5
4	10
3	4
3	10
2	4
1	6
2	6
3	10
3	8
3	5
1	5
1	6
1	7
1	9
3	6
2	11
2	7
1	5
1	5
2	9
3	7
1	7
3	8
3	7
4	7
2	7
2	7
2	7
2	7
3	12
2	7
3	11
2	6
2	6
4	12
2	4
3	7
3	8
2	7
1	7
4	20
3	12
5	11
3	9
2	8
1	6
1	6
2	6
2	6
2	6
3	12
3	5
1	5
1	7
1	5
1	6
2	12
2	6
2	7
1	7
2	4
2	8
3	9
3	11
1	5
2	5
5	12
2	6
3	7
3	9
3	9
2	8
4	16
2	8
1	9
3	11
2	8
3	7
3	9
2	7
1	12
2	8
4	8
2	4
1	8
1	8
1	10
3	10
2	9
2	8
1	7
3	7
4	10
3	7
1	7
1	7
2	7
2	7
3	9
3	8
2	8
2	10
2	8
3	11
1	7
3	7
1	6
2	7
2	7
2	6
3	11
1	6
1	8
1	7
1	6
2	6
1	5
5	6
1	5
2	10
3	8
1	7
1	8
2	7
1	6
1	7
1	7
7	14
4	8
1	6
1	6
1	5
1	5
1	5
2	5
1	5
1	5
1	6
2	6
2	7
3	7
2	7
4	7
2	7
3	7
2	7
3	7
2	7
2	7
2	7
3	7
3	7
2	7
2	7
3	7
3	7
3	6
3	7
2	8
3	8
3	8
3	6
2	7
2	7
2	7
2	7
2	7
2	7
2	6
2	7
4	9
3	8
3	8
3	8
2	8
2	7
2	6
1	6
1	6
1	7
2	10
1	5
1	5
1	4
1	5
1	5
1	5
2	4
2	5
4	15
3	12
4	16
1	7
2	10
2	7
4	20
3	12
2	5
2	9
3	13
3	6
3	9
3	13
3	11
2	6
1	6
2	6
2	6
1	6
1	5
1	5
4	12
1	8
2	11
3	10
2	8
4	12
4	10
2	9
3	10
4	11
4	11
2	10
1	8
4	12
3	8
3	7
2	7
3	8
1	7
2	10
3	12
2	7
1	9
1	8
2	8
1	6
3	9
2	4
2	4
3	8
2	6
2	5
3	7
2	6
3	9
3	7
4	12
2	8
4	8
2	8
4	12
1	6
3	10
1	6
1	6
1	6
1	6
1	6
2	6
2	6
6	16
2	6
2	6
2	6
2	6
2	7
2	6
2	6
2	5
2	6
2	6
2	6
2	5
4	4
1	5
2	6
2	5
1	7
1	5
1	6
2	6
1	6
2	6
2	6
3	9
3	8
3	8
2	8
3	8
3	9
2	8
2	8
3	8
3	7
3	8
3	7
2	7
2	7
3	8
2	7
3	9
3	8
2	7
3	8
3	8
2	7
2	7
2	7
2	7
2	7
2	10
3	8
3	8
2	8
3	8
3	8
3	8
3	8
3	8
3	8
2	5
3	4
3	14
4	4
2	5
4	12
2	8
2	8
4	9
3	7
2	6
1	6
2	6
2	8
3	9
2	8
1	6
2	7
2	6
2	9
4	11
2	6
2	8
1	4
1	6
2	4
2	8
1	6
4	12
1	3
1	6
1	6
4	14
1	5
2	6
2	6
4	10
3	15
2	12
4	14
1	6
4	12
2	6
1	6
1	6
1	6
3	9
2	7
1	5
2	5
1	6
2	5
1	6
1	5
1	5
1	5
1	5
1	5
2	12
1	5
1	5
2	4
1	5
1	4
1	4
1	4
1	4
1	4
1	4
2	6
1	5
2	4
1	3
1	6
2	6
1	6
2	6
2	6
2	6
2	6
2	6
2	8
2	6
2	6
2	6
1	7
1	8
3	6
2	6
3	13
3	10
3	9
4	5
4	16
1	6
2	10
2	7
2	8
2	10
2	10
2	10
2	10
4	8
2	10
1	10
3	9
2	10
2	10
2	10
2	10
2	9
3	9
2	9
2	9
2	9
3	8
3	9
3	9
2	7
2	8
2	8
2	8
2	8
3	8
2	7
1	5
4	12
2	8
2	5
3	8
1	6
2	6
3	8
3	8
2	6
1	8
4	8
2	11
4	12
3	9
1	6
3	15
1	6
1	6
2	6
1	6
2	10
2	7
1	7
1	7
1	8
2	8
2	9
2	8
2	8
1	8
2	6
2	7
1	6
1	5
1	7
1	7
3	6
2	6
1	6
1	6
2	10
2	7
2	7
2	7
1	8
1	6
2	5
3	12
2	6
2	8
4	10
2	8
4	11
2	6
2	7
2	7
1	4
1	4
1	5
1	4
2	6
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	5
1	5
1	5
1	4
1	4
2	6
2	4
1	10
2	5
1	6
1	6
1	6
1	6
1	6
1	6
3	8
4	9
4	11
4	10
3	7
2	8
3	9
2	8
3	7
2	10
4	10
2	7
3	7
3	7
2	9
3	9
2	6
2	6
2	9
2	8
2	8
2	8
2	9
1	6
2	7
6	16
3	12
3	11
3	6
4	7
3	8
3	5
3	8
2	8
1	6
5	11
2	6
2	6
2	6
2	10
2	6
3	6
2	12
4	10
2	8
2	8
5	11
5	12
1	8
4	9
3	9
2	6
2	13
2	5
1	5
2	11
2	6
2	7
3	8
1	5
2	6
2	8
2	7
2	9
2	9
2	10
1	10
3	8
3	12
2	10
3	8
2	9
2	7
2	6
1	6
3	6
1	6
2	7
2	4
2	7
1	6
1	6
2	7
1	6
2	6
1	6
1	6
3	6
2	5
1	6
1	4
2	6
1	6
3	5
1	6
2	6
1	5
1	6
2	5
1	6
1	5
1	8
2	7
1	6
2	7
2	9
2	8
1	7
3	12
6	14
3	10
4	12
4	11
5	10
3	8
4	11
4	10
4	13
2	9
6	16
4	8
3	6
3	8
5	16
2	5
1	4
1	5
2	8
1	6
3	7
3	5
3	9
2	6
3	12
2	6
2	8
2	8
2	8
2	8
2	8
2	8
2	6
2	9
2	8
2	7
5	11
4	10
4	10
4	9
4	11
4	12
2	9
4	11
2	7
3	11
3	10
3	9
2	9
2	10
5	15
4	9
3	12
6	18
2	8
1	6
3	5
3	7
3	6
1	6
1	6
1	6
1	6
1	6
1	6
2	5
1	6
1	6
1	6
1	6
1	6
1	6
1	6
2	9
3	9
4	10
2	6
2	7
2	10
2	9
2	9
3	15
3	12
3	11
1	8
2	8
2	10
2	7
3	13
3	10
2	8
3	8
2	6
1	6
2	8
3	9
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
3	8
2	8
2	8
2	8
2	8
3	6
2	4
4	9
4	9
2	8
3	10
2	6
2	6
2	4
2	9
2	7
3	7
2	9
2	11
1	6
3	9
3	7
3	6
3	9
2	6
2	7
2	6
2	9
2	6
3	12
1	10
4	9
1	12
3	10
2	6
3	9
2	10
3	14
4	9
3	12
3	9
3	10
4	8
3	11
2	8
2	9
2	6
3	8
4	9
4	9
2	8
1	8
5	12
5	13
4	13
3	13
4	14
4	14
4	14
3	9
4	14
4	11
3	9
5	10
2	8
3	8
2	6
2	6
3	7
2	8
2	7
2	6
2	8
2	8
3	11
2	8
2	8
2	9
3	9
3	8
1	7
3	7
3	9
3	11
3	9
3	12
5	14
3	8
1	7
2	6
2	6
3	10
3	9
1	9
4	16
3	8
4	6
2	10
2	7
3	6
2	7
1	7
2	9
1	7
1	11
2	8
2	10
2	9
2	7
4	10
2	8
3	9
2	6
3	9
3	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
3	8
2	8
2	8
6	12
2	6
1	6
2	6
4	6
1	6
1	7
3	9
3	8
2	9
2	3
4	9
3	9
3	10
3	10
3	7
4	8
3	9
4	10
4	21
3	15
4	13
4	14
3	8
2	6
1	4
2	6
1	5
1	5
1	5
3	10
2	5
2	5
3	4
2	5
2	6
3	9
2	5
1	5
1	4
1	4
1	4
1	5
1	4
1	4
1	4
1	5
1	5
2	4
1	5
1	4
1	4
1	4
1	5
1	4
1	5
1	5
1	4
1	4
2	8
4	9
2	9
2	8
2	8
3	7
4	12
3	11
4	11
2	9
5	16
3	11
1	7
3	12
4	12
4	8
3	6
3	8
3	10
1	7
3	12
4	8
3	9
4	9
4	9
2	8
3	11
2	7
3	7
3	11
4	8
3	10
3	8
3	9
3	9
3	14
4	11
4	9
3	9
3	7
3	7
2	5
2	6
2	12
3	13
1	6
2	7
1	6
2	8
2	8
4	16
3	9
3	12
2	6
2	6
2	6
2	8
2	8
3	8
4	9
4	18
3	7
2	10
2	8
3	11
3	11
3	8
4	11
4	8
2	9
3	9
2	8
3	8
3	11
1	9
3	11
1	6
1	6
2	6
1	6
2	6
2	6
1	6
1	6
3	10
1	7
2	7
2	6
2	6
1	6
1	7
5	10
4	17
2	12
3	7
4	14
2	6
2	6
1	5
1	6
2	8
2	6
2	7
4	14
3	7
3	10
1	6
2	10
2	6
6	13
6	16
3	10
3	8
4	12
1	5
2	7
1	5
1	5
1	4
1	5
1	4
2	5
2	5
1	5
1	5
3	6
2	5
2	6
2	5
2	6
2	5
2	5
2	5
3	6
2	7
2	5
2	5
2	5
1	5
2	5
2	5
2	5
2	6
4	11
3	9
3	7
3	8
3	6
3	6
3	7
4	12
4	11
2	9
5	11
3	9
5	11
2	8
3	8
4	10
3	8
2	7
5	12
4	7
2	7
3	9
2	10
1	6
2	6
3	8
3	11
5	11
4	10
9	25
2	7
4	8
4	16
3	8
3	8
2	8
4	11
3	11
4	7
5	10
3	12
4	12
4	12
2	8
2	6
2	7
2	8
1	7
2	8
1	6
1	7
2	6
2	6
2	8
3	8
2	7
2	6
1	6
1	6
1	7
1	9
2	7
2	7
2	6
3	9
2	6
3	6
2	10
1	6
2	9
1	5
1	6
1	7
1	6
1	6
3	6
1	6
2	7
3	7
2	9
4	12
3	12
3	9
4	12
3	9
2	6
3	11
3	11
3	8
3	13
4	13
4	9
3	10
1	10
3	11
4	15
3	8
3	11
2	11
2	8
3	11
3	9
4	18
2	10
3	9
3	9
4	16
1	9
3	12
2	12
3	11
3	8
3	11
1	5
3	16
1	9
1	10
1	5
2	6
2	6
3	5
2	5
2	7
1	4
1	7
1	4
1	4
1	4
1	4
1	4
1	4
3	6
1	5
2	5
2	5
2	5
2	5
3	6
1	3
2	5
2	5
2	8
2	11
1	5
1	6
2	5
1	6
2	6
2	6
3	6
2	6
2	6
3	8
4	12
3	12
3	9
3	12
4	16
4	14
4	16
4	15
3	10
3	9
4	7
3	6
2	10
3	8
1	5
1	5
1	4
2	7
2	7
2	9
5	12
3	7
2	7
2	7
2	9
2	7
4	11
4	9
3	11
2	10
3	11
3	12
4	9
3	12
3	9
1	6
2	6
2	6
3	8
3	8
2	10
3	10
2	8
2	7
2	7
2	8
2	7
3	14
2	6
3	8
2	9
2	9
3	10
2	8
3	7
1	6
1	6
3	8
4	11
3	9
4	10
2	8
2	4
2	8
1	8
3	14
2	6
2	8
3	8
3	11
2	7
3	8
3	8
3	12
4	14
4	11
3	8
3	12
2	8
4	12
3	13
4	10
4	11
4	12
2	10
4	12
4	14
3	13
3	10
4	12
4	11
3	8
3	7
3	9
2	7
3	6
2	6
1	6
2	6
2	8
2	7
2	7
2	6
4	9
3	6
2	8
3	5
2	6
2	6
2	6
2	5
2	4
2	4
3	9
1	5
1	5
2	6
1	5
2	6
2	6
1	3
1	3
1	3
1	3
1	4
1	4
1	4
2	5
1	5
1	6
1	5
2	6
2	6
2	6
1	4
1	4
1	5
1	6
1	8
1	4
3	5
1	5
2	6
2	6
2	5
4	10
4	12
4	10
5	12
4	14
